time,voltage
-5.000000000000000000e-01,-1.510050300000000068e+00
-4.994999999999999996e-01,-3.520100499999999855e+00
-4.989999999999999991e-01,-3.040201000000000153e-01
-4.984999999999999987e-01,3.414572900000000022e+00
-4.979999999999999982e-01,1.706030200000000052e+00
-4.974999999999999978e-01,3.994975000000000054e-01
-4.969999999999999973e-01,2.309045199999999909e+00
-4.964999999999999969e-01,5.525125700000000251e+00
-4.959999999999999964e-01,3.716080400000000061e+00
-4.954999999999999960e-01,2.510050300000000068e+00
-4.949999999999999956e-01,-3.721105600000000013e+00
-4.944999999999999951e-01,-5.630653299999999639e+00
-4.939999999999999947e-01,-5.128140700000000329e+00
-4.934999999999999942e-01,-3.419598000000000138e+00
-4.929999999999999938e-01,-1.108040200000000031e+00
-4.924999999999999933e-01,2.811557800000000107e+00
-4.919999999999999929e-01,9.798990000000000478e-02
-4.914999999999999925e-01,-4.223618100000000375e+00
-4.909999999999999920e-01,-5.050251000000000046e-01
-4.904999999999999916e-01,9.798990000000000478e-02
-4.899999999999999911e-01,-2.716080400000000061e+00
-4.894999999999999907e-01,-2.512599999999999816e-03
-4.889999999999999902e-01,-9.070352000000000414e-01
-4.884999999999999898e-01,1.203517600000000076e+00
-4.879999999999999893e-01,2.912060299999999824e+00
-4.874999999999999889e-01,1.103015099999999915e+00
-4.869999999999999885e-01,2.108040200000000031e+00
-4.864999999999999880e-01,2.811557800000000107e+00
-4.859999999999999876e-01,2.510050300000000068e+00
-4.854999999999999871e-01,-6.055276000000000547e-01
-4.849999999999999867e-01,-1.912060300000000046e+00
-4.844999999999999862e-01,2.007537699999999870e+00
-4.839999999999999858e-01,1.304020100000000015e+00
-4.834999999999999853e-01,-2.917085500000000220e+00
-4.829999999999999849e-01,-4.123115600000000214e+00
-4.824999999999999845e-01,-4.123115600000000214e+00
-4.819999999999999840e-01,-3.118090500000000098e+00
-4.814999999999999836e-01,-4.045226000000000099e-01
-4.809999999999999831e-01,1.505025099999999894e+00
-4.804999999999999827e-01,9.020101000000000369e-01
-4.799999999999999822e-01,3.314070399999999861e+00
-4.794999999999999818e-01,5.000000000000000000e-01
-4.789999999999999813e-01,2.989950000000000108e-01
-4.784999999999999809e-01,-1.208542699999999970e+00
-4.779999999999999805e-01,-1.912060300000000046e+00
-4.774999999999999800e-01,-2.917085500000000220e+00
-4.769999999999999796e-01,-5.050251000000000046e-01
-4.764999999999999791e-01,9.020101000000000369e-01
-4.759999999999999787e-01,1.706030200000000052e+00
-4.754999999999999782e-01,-3.821608100000000174e+00
-4.749999999999999778e-01,-1.711055299999999946e+00
-4.744999999999999774e-01,3.994975000000000054e-01
-4.739999999999999769e-01,2.108040200000000031e+00
-4.734999999999999765e-01,5.000000000000000000e-01
-4.729999999999999760e-01,1.505025099999999894e+00
-4.724999999999999756e-01,3.213567900000000144e+00
-4.719999999999999751e-01,6.530150800000000366e+00
-4.714999999999999747e-01,4.218593000000000259e+00
-4.709999999999999742e-01,1.706030200000000052e+00
-4.704999999999999738e-01,-5.027638200000000168e+00
-4.699999999999999734e-01,-5.530150800000000366e+00
-4.694999999999999729e-01,-5.228643299999999883e+00
-4.689999999999999725e-01,-2.716080400000000061e+00
